Cluster | FQDNs
5 | answers.yahoo.com, ca.answers.yahoo.com, sg.answers.yahoo.com, au.answers.yahoo.com, nz.answers.yahoo.com, in.answers.yahoo.com, ph.answers.yahoo.com
10 | m.yahoo.com, buzzlog.yahoo.com, yahoo.com, au.tv.yahoo.com
14 | ca.sports.yahoo.com, au.sports.yahoo.com
26 | in.news.yahoo.com, au.news.yahoo.com, ph.news.yahoo.com, sg.news.yahoo.com, nz.news.yahoo.com
29 | uk.movies.yahoo.com, sg.movies.yahoo.com
32 | smallbusiness.yahoo.com, sem.smallbusiness.yahoo.com
44 | uk.finance.yahoo.com, sg.finance.yahoo.com, in.finance.yahoo.com
56 | health.groups.yahoo.com, health.dir.groups.yahoo.com
57 | uk.groups.yahoo.com, tv.groups.yahoo.com
79 | jerseysyahoo.com, securityahoo.com, plplyahoo.com, kjkjyahoo.com, ticketyyahoo.com, ticketyahoo.com, voting-yahoo.com, jyjyyahoo.com, lzlzyahoo.com, tickkyahoo.com, acaryahoo.com, yanyanyahoo.com, wawayahoo.com, dkdkdyahoo.com
114 | kalispellchristiancenter.org, knightdigitalmediacenter.org, abundantlifeworshipcenter.net, sanjivanihospitalandresearchcenter.org, botosanishoppingcenter.ro, optometryscareercenter.org, antiochfamilylifecenter.org, columbuskittyadoptioncenter.org, theorthopediccenter.net, crownheightsmediationcenter.org, ohiojudicialcenter.gov, communitycounselingandcrisiscenter.org, northiowatransitioncenter.org, genesisandlightcenter.org, californiasciencecenter.org, facebooksecuritycenter.xyz, lakemerrittdancecenter.org, publichealthlawcenter.org, loanmodificationhelpcenter.org, willington-helpcenter.tk
